tile,num_images,mean_x,mean_y
6962_149723,11,348125.45454545453,7486154.0
6977_149775,11,348861.45454545453,7488785.818181818
6984_149784,11,349211.8181818182,7489203.454545454
6982_149777,11,349108.0,7488856.181818182
6976_149767,11,348811.0909090909,7488369.090909091
7006_149708,11,350344.9090909091,7485446.181818182
6976_149777,11,348845.0909090909,7488859.818181818
6968_149752,11,348440.1818181818,7487641.636363637
6983_149766,11,349186.9090909091,7488313.090909091
7040_149715,10,352008.4,7485780.0
6977_149777,10,348851.4,7488859.8
6994_149757,10,349710.0,7487862.4
7030_149759,9,351502.0,7487959.111111111
7049_149716,9,352496.44444444444,7485804.444444444
6976_149776,9,348836.22222222225,7488834.222222222
